Food Code,Food Name,Group,Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),,,,,,,,,,,,,,,,,,,,,,,
18-321,"Chicken, wing quarter, casseroled, meat and skin",MCA,0.2,0.16,,0.06,0.12,7,4.5,11.5,0.29,Tr,6,1.18,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-322,"Chicken, wing quarter, casseroled, meat and skin, weighed with bone",MCA,0.1,0.11,,0.04,0.08,4.7,3,7.7,0.19,Tr,4,0.79,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-320,"Chicken, wing quarter, casseroled, meat only",MCA,0.1,0.16,,0.06,0.13,7.8,5.3,13.1,0.33,Tr,7,1.31,3,0,,,,,,,,,,,,,,,,,,,,,,,
18-295,"Chicken, wing quarter, raw, meat and skin",MCA,0.6,0.14,,0.12,0.22,8.3,3.7,12,0.38,Tr,11,1.1,2,0,,,,,,,,,,,,,,,,,,,,,,,
18-296,"Chicken, wing quarter, raw, meat and skin, weighed with bone",MCA,0.4,0.09,,0.08,0.14,5.5,2.5,8,0.25,Tr,7,0.73,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-339,"Chicken, wing quarter, roasted, meat and skin",MCA,0.4,0.27,,0.06,0.17,10,4.9,14.9,0.25,Tr,6,0.67,1,0,,,,,,,,,,,,,,,,,,,,,,,
18-340,"Chicken, wing quarter, roasted, meat and skin, weighed with bone",MCA,0.2,0.14,,0.03,0.09,5.3,2.6,7.9,0.13,Tr,3,0.35,1,0,,,,,,,,,,,,,,,,,,,,,,,
19-469,"Chicken/turkey pasties/slices, puff pastry",MI,Tr,1.38,,0.08,0.15,1.8,1.1,2.9,0.07,Tr,3,0.34,0.9,N,,,,,,,,,,,,,,,,,,,,,,,
18-503,"Chicken/turkey pieces, coated, baked",MCA,Tr,2.75,,0.07,0.17,7.1,3.1,10.2,0.39,0.2,27,0.61,2.9,0,,,,,,,,,,,,,,,,,,,,,,,
13-586,"Chicory, pale variety, boiled in unsalted water",DG,0,N,,0.05,Tr,Tr,0.2,0.2,Tr,0,11,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
13-225,"Chicory, pale variety, raw",DG,0,N,,0.14,Tr,0.1,0.2,0.3,0.01,0,14,N,N,5,,,,,,,,,,,,,,,,,,,,,,,
19-478,"Chilli con carne, homemade",MR,0.3,1.15,,0.1,0.07,2.3,1.6,3.9,0.2,0.6,9,0.21,0.9,7,,,,,,,,,,,,,,,,,,,,,,,
19-208,"Chilli con carne, retail, reheated",MR,N,N,,0.07,0.12,1.6,1.3,2.9,0.19,1,15,0.51,4,N,,,,,,,,,,,,,,,,,,,,,,,
19-527,"Chilli con carne, retail, reheated, with rice",MR,N,N,,0.06,0.07,1.2,1.1,2.3,0.13,0.6,11,0.34,2.6,N,,,,,,,,,,,,,,,,,,,,,,,
13-873,Chilli powder,H,0,N,105.7,0.25,0.94,11.6,N,N,2.1,0,28,0.89,N,1,,,,,,,,,,,,,,,,,,,,,,,
17-719,Chilli sauce,WC,0,1.97,,0.01,0.09,0.6,0.3,0.9,0.1,0,10,0.22,1,8,,,,,,,,,,,,,,,,,,,,,,,
15-719,"Chilli, bean and lentil, homemade",DR,0,N,,0.18,0.08,1,0.8,1.8,0.21,0,19,N,N,9,,,,,,,,,,,,,,,,,,,,,,,
15-720,"Chilli, Quorn, homemade",DR,0,1.34,,0.12,0.11,0.6,1,1.6,0.11,0.1,12,0.18,N,10,,,,,,,,,,,,,,,,,,,,,,,
15-640,"Chilli, vegetable, homemade",DR,0,0.54,,0.13,0.03,0.5,0.4,0.9,0.09,0,14,0.13,N,8,,,,,,,,,,,,,,,,,,,,,,,
13-813,Chinese 5 spice,H,0,N,,0.21,0.24,5.3,N,N,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
16-011,"Chital, raw",JA,N,N,,0.04,0.07,N,3.4,N,N,N,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-887,"Chives, fresh",H,0,0.21,,0.08,0.12,0.7,0.7,1.4,0.14,0,105,0.33,N,58,,,,,,,,,,,,,,,,,,,,,,,
15-721,"Cho cho fritters, fried in rapeseed oil, homemade",DR,0.5,N,,0.06,0.13,0.5,1.1,1.3,N,0.6,N,0.56,N,5,,,,,,,,,,,,,,,,,,,,,,,
13-228,"Cho cho, boiled in unsalted water",DG,0,N,,0.02,0.03,0.4,0.1,0.5,N,0,N,0.41,N,11,,,,,,,,,,,,,,,,,,,,,,,
13-227,"Cho cho, raw",DG,0,N,,0.02,0.03,0.5,0.1,0.6,N,0,N,0.48,N,15,,,,,,,,,,,,,,,,,,,,,,,
17-658,Chocolate covered bar with caramel and cereal,SEA,N,0.94,,N,N,N,0.9,N,N,N,N,N,1.8,0,,,,,,,,,,,,,,,,,,,,,,,
17-657,Chocolate covered caramel and biscuit fingers,SEA,0.3,1.28,,0.03,0.23,0.2,1,1.2,Tr,0.5,4,0.4,1.8,0,,,,,,,,,,,,,,,,,,,,,,,
11-812,Chocolate covered wafer biscuit,AM,Tr,0.83,,0.07,0.2,0.8,1.2,2,0.05,0,11,0.83,14,0,,,,,,,,,,,,,,,,,,,,,,,
17-687,Chocolate nut spread,SC,Tr,N,,0.03,0.1,0.5,1.5,2,0.1,Tr,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-518,Chocolate nut sundae,BP,0.3,0.86,,0.08,0.18,0.4,0.6,1,0.03,0.4,7,0.61,3,1,,,,,,,,,,,,,,,,,,,,,,,
17-659,Chocolate spread,SC,Tr,7.7,,0.17,Tr,0.3,0.6,0.9,0.19,Tr,10,0.26,0.8,0,,,,,,,,,,,,,,,,,,,,,,,
17-650,"Chocolate, dark, with crème or mint fondant centres",SEA,Tr,1.52,,0.16,0.01,0.5,0.6,1.1,0.35,Tr,1,0.04,1.6,0,,,,,,,,,,,,,,,,,,,,,,,
17-690,"Chocolate, fancy and filled",SEA,Tr,1.65,,0.05,0.2,0.4,0.9,1.3,0.03,Tr,17,0.73,3,0,,,,,,,,,,,,,,,,,,,,,,,
17-648,"Chocolate, milk",SEA,Tr,1.6,,0.12,0.53,0.3,2.4,2.7,0.21,2.1,9,0.73,2.4,0,,,,,,,,,,,,,,,,,,,,,,,
17-491,"Chocolate, plain",SEA,0,1.44,2.3,0.04,0.06,0.4,0.7,1.1,0.03,0,12,0.3,3,0,,,,,,,,,,,,,,,,,,,,,,,
17-091,"Chocolate, white",SEA,Tr,1.14,,0.08,0.49,0.2,2.6,2.8,0.07,Tr,10,0.59,3,0,,,,,,,,,,,,,,,,,,,,,,,
19-516,Chorizo,MI,N,N,,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
11-1050,"Choux buns, homemade",AP,N,N,,0.07,0.19,0.3,1.3,1.6,0.05,0.9,10,0.39,4.9,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-519,"Chow mein, beef, retail, reheated",MR,N,0.43,,0.03,0.03,N,1.1,N,N,Tr,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-321,"Chow mein, chicken, takeaway",MR,N,0.96,,0.05,0.03,1.8,1.3,3.1,0.08,Tr,4,0.47,1.6,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-614,"Chow mein, pork and chicken, homemade",MR,0.1,3.34,,0.14,0.07,2.3,1.6,3.9,0.17,0.2,8,N,N,4,,,,,,,,,,,,,,,,,,,,,,,
17-784,"Chutney, apple, homemade",WCG,0,0.2,,0.05,0.01,0.3,0.2,0.5,0.09,0,3,0.04,0.7,5,,,,,,,,,,,,,,,,,,,,,,,
17-343,"Chutney, mango, sweet",WE,0,N,,0,0.01,0.2,0.8,1,N,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-345,"Chutney, tomato",WCG,0,N,,0.05,0.15,0.1,0.2,0.3,0.02,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-785,"Chutney, tomato, homemade",WE,0,0.46,,0.08,0.01,0.7,0.2,0.9,0.15,0,10,0.15,1.2,8,,,,,,,,,,,,,,,,,,,,,,,
17-222,"Cider, dry",QC,0,N,,Tr,Tr,0,Tr,Tr,0.01,Tr,N,0.04,1,0,,,,,,,,,,,,,,,,,,,,,,,
17-223,"Cider, low alcohol",QC,0,N,,Tr,Tr,0.1,Tr,0.1,Tr,Tr,2,0.07,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
17-822,"Cider, strong",QC,0,N,,Tr,Tr,0,Tr,Tr,0.01,Tr,N,0.03,1,0,,,,,,,,,,,,,,,,,,,,,,,
17-224,"Cider, sweet",QC,0,N,,Tr,Tr,0,Tr,Tr,0.01,Tr,N,0.03,1,0,,,,,,,,,,,,,,,,,,,,,,,
13-874,"Cinnamon, ground",H,0,N,31.2,0.02,0.04,1.3,N,N,0.16,0,6,0.36,N,4,,,,,,,,,,,,,,,,,,,,,,,
14-326,"Citrus fruit, soft/easy peelers, flesh only",FA,0,0.21,,0.17,0.03,0.4,0.1,0.5,0.06,0,19,0.15,1.4,42,,,,,,,,,,,,,,,,,,,,,,,
14-348,"Citrus fruit, soft/easy peelers, flesh only, weighed with peel and pips",FA,0,0.16,,0.13,0.02,0.3,0.1,0.4,0.05,0,15,0.12,1.1,33,,,,,,,,,,,,,,,,,,,,,,,
13-816,"Cloves, dried",H,0,N,,0.11,0.27,1.5,N,N,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
16-252,"Cockles, boiled",JM,Tr,N,,0.05,0.11,1.2,2.6,3.8,0.04,47,N,0.27,9,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-722,"Coco fritters, fried in rapeseed oil, homemade",DR,0.4,N,,0.09,0.1,0.6,1.3,1.9,0.08,0.5,N,N,N,7,,,,,,,,,,,,,,,,,,,,,,,
17-002,Cocoa butter,OE,Tr,1.05,,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
12-545,Cocoa powder,BH,0,0.68,1.5,0.16,0.06,1.7,3.9,5.6,0.07,0,38,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
12-563,"Cocoa powder, made up with semi-skimmed milk",BH,Tr,0.04,,0.03,0.21,0.2,0.7,0.9,0.05,0.8,7,0.59,2.9,1,,,,,,,,,,,,,,,,,,,,,,,
12-564,"Cocoa powder, made up with skimmed milk",BH,Tr,0.01,,0.03,0.2,0.1,0.7,0.8,0.05,0.8,7,0.42,2.3,0,,,,,,,,,,,,,,,,,,,,,,,
12-565,"Cocoa powder, made up with whole milk",BH,Tr,0.06,,0.03,0.2,0.2,0.7,0.7,0.06,0.8,7,0.5,2.4,1,,,,,,,,,,,,,,,,,,,,,,,
17-786,"Coconut ice, homemade",SEC,Tr,0.25,,0.01,0.05,0.2,0.3,0.5,0.03,0.2,3,0.22,N,0,,,,,,,,,,,,,,,,,,,,,,,
14-820,Coconut milk,GA,0,Tr,,0.03,0.06,0.1,0.1,0.2,0.03,0,N,0.04,N,2,,,,,,,,,,,,,,,,,,,,,,,
14-890,"Coconut milk, reduced fat, retail",GA,0,N,,N,N,N,N,N,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
14-889,"Coconut milk, retail",GA,0,N,,N,N,N,N,N,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
14-873,"Coconut, desiccated",GA,0,1.26,,0.03,0.05,0.9,1.1,2,0.09,0,9,0.5,N,0,,,,,,,,,,,,,,,,,,,,,,,
14-816,"Coconut, flesh only, fresh",GA,0,0.73,,0.04,0.01,0.5,0.6,1.1,0.05,0,26,0.3,N,3,,,,,,,,,,,,,,,,,,,,,,,
16-490,"Cod, dried, salted, boiled",JA,Tr,N,,Tr,Tr,N,6.1,N,N,N,Tr,N,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-373,"Cod, flesh only, baked",JA,Tr,0.95,,0.1,0.09,2,4.1,6.1,0.12,1.9,8,0.3,0.9,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-465,"Cod, flesh only, baked, weighed with bones and skin",JA,Tr,0.85,,0.09,0.08,1.8,3.7,5.5,0.11,1.7,7,0.27,0.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-466,"Cod, flesh only, grilled",JA,Tr,0.93,,0.08,0.1,2.9,3.7,6.6,0.18,2,9,0.33,1.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-374,"Cod, flesh only, microwaved",JA,Tr,0.86,,0.08,0.1,1.8,3.7,5.5,0.13,2.2,8,0.28,0.7,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-015,"Cod, flesh only, poached in milk, butter and salt added",JA,Tr,0.61,,0.04,0.06,2.8,3.9,6.7,0.21,2,14,0.31,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-016,"Cod, flesh only, poached in milk, butter and salt added, weighed with bones and skin",JA,Tr,0.53,,0.03,0.05,2.4,3.4,5.8,0.18,1,12,0.27,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-372,"Cod, flesh only, raw",JA,Tr,0.66,0.01,0.06,0.08,2.3,2.6,4.9,0.14,1.5,7,0.25,1.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-491,"Cod, flesh only, salted and smoked, raw",JA,Tr,0.44,,0.04,0.05,2,3.4,5.4,0.17,1,5,0.27,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-467,"Cod, flesh only, steamed",JA,Tr,0.86,,0.07,0.1,2.7,3.4,6.1,0.18,1.9,9,0.26,1.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-468,"Cod, flesh only, steamed, weighed with bones and skin",JA,Tr,0.75,,0.06,0.09,2.4,3,5.4,0.16,1.6,8,0.23,1.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-369,"Cod, in batter, baked",JA,Tr,2.38,,0.07,0.07,0.9,2.7,3.6,0.2,1.7,12,0.09,1.4,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-427,"Cod, in batter, fried in dripping, takeaway",JA,Tr,N,,0.07,0.12,2.1,3.6,5.7,0.24,2.1,16,0.18,1.4,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-426,"Cod, in batter, fried in rapeseed oil",JA,Tr,3.73,,0.07,0.07,0.9,2.8,3.7,0.2,1.7,12,0.09,1.4,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-428,"Cod, in batter, fried in sunflower oil, takeaway",J,Tr,N,,0.07,0.12,2.1,3.6,5.7,0.24,2.1,16,0.18,1.4,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-368,"Cod, in batter, fried, takeaway",JA,Tr,1.48,,0.07,0.12,2.1,3.6,5.7,0.24,2.1,16,0.18,1.4,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-370,"Cod, in breadcrumbs, baked",JA,Tr,1.84,,0.08,0.11,1.6,2.9,4.5,0.19,1,7,0.17,3,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-163,"Coffee and chicory essence, with water",PA,0,N,,0,0,0.1,N,N,N,0,N,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
17-632,"Coffee, cappuccino, latte",P,0.7,Tr,,0.02,0.11,0.8,0.3,1.1,0.01,Tr,4,0.39,1.7,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-833,"Coffee, infusion, average",PAC,0,Tr,0.06,Tr,0.01,0.7,0,0.7,Tr,0,Tr,Tr,3,0,,,,,,,,,,,,,,,,,,,,,,,
17-157,"Coffee, infusion, average, with semi-skimmed milk",PAC,Tr,Tr,,0.01,0.03,0.6,0.1,0.7,0.01,Tr,1,0.04,3,0,,,,,,,,,,,,,,,,,,,,,,,
17-155,"Coffee, infusion, average, with single cream",PAC,Tr,0.03,,Tr,0.02,0.6,Tr,0.6,Tr,Tr,1,0.02,3,0,,,,,,,,,,,,,,,,,,,,,,,
17-156,"Coffee, infusion, average, with whole milk",PAC,Tr,0.01,,Tr,0.03,0.6,0.1,0.7,0.01,Tr,1,0.04,3,0,,,,,,,,,,,,,,,,,,,,,,,
17-153,"Coffee, infusion, strong",PAC,0,Tr,,Tr,0.01,0.9,0,0.9,Tr,0,Tr,Tr,3,0,,,,,,,,,,,,,,,,,,,,,,,
17-154,"Coffee, infusion, weak",PAC,0,Tr,,Tr,Tr,0.5,0,0.5,Tr,0,Tr,Tr,2,0,,,,,,,,,,,,,,,,,,,,,,,
17-159,"Coffee, instant, made up with water",PAC,0,0,,0,Tr,0.2,0.1,0.3,0,0,Tr,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
17-161,"Coffee, instant, made up with water and semi-skimmed milk",PAC,Tr,Tr,,0.01,0.03,0.2,0.1,0.3,0.01,Tr,1,0.04,1,0,,,,,,,,,,,,,,,,,,,,,,,
17-160,"Coffee, instant, made up with water and whole milk",PAC,Tr,0.01,,Tr,0.02,0.2,0.1,0.3,Tr,Tr,1,0.04,1,0,,,,,,,,,,,,,,,,,,,,,,,
17-594,"Coffee, Irish",PAC,Tr,0.27,,Tr,0.04,0.5,Tr,0.5,Tr,0.1,1,0.04,2.1,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-158,"Coffee, powder, instant",PAA,0,Tr,4.3,0.04,0.21,24.8,2.9,27.7,0.02,0,11,Tr,67,0,,,,,,,,,,,,,,,,,,,,,,,
12-546,"Coffeemate, whitener powder",BAR,0,N,6,0,1,0,0.6,0.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
17-175,Cola,PCA,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
17-505,"Cola, diet",PCA,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
13-229,"Cole leaves, dried, boiled in unsalted water",DG,0,N,,0.01,0.05,0.4,0.5,0.9,N,0,4,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-635,"Coleslaw, not low calorie, retail",DR,Tr,3.93,,0.02,0.42,0.2,0.3,0.5,0.13,0.1,56,0.12,0.6,1,,,,,,,,,,,,,,,,,,,,,,,
15-636,"Coleslaw, with reduced calorie dressing, retail",DR,N,1.41,,0.02,0.42,0.2,0.3,0.5,0.13,N,56,0.12,0.6,1,,,,,,,,,,,,,,,,,,,,,,,
16-429,"Coley, flesh only, baked",JA,Tr,0.77,,0.22,0.18,2.8,5,7.8,0.33,4.2,6,0.36,4.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-430,"Coley, flesh only, grilled",JA,Tr,0.73,,0.27,0.2,3,4.8,7.8,0.31,4.5,7,0.36,4.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-431,"Coley, flesh only, poached",JA,Tr,0.79,,0.29,0.24,3.2,5.1,8.4,0.37,4.8,7,0.37,4.6,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-383,"Coley, flesh only, raw",JA,Tr,0.57,,0.23,0.17,2.6,3.7,6.3,0.27,3.5,5,0.33,3.7,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-469,"Coley, flesh only, steamed",JA,Tr,0.73,,0.26,0.22,3,4.7,7.7,0.34,4.4,7,0.34,4.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-501,"Coley, flesh only, steamed, weighed with bones and skin",JA,Tr,0.73,,0.26,0.22,3,4.7,7.7,0.34,4.4,7,0.34,4.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-729,"Complan powder, original and sweet",PAA,4.4,11,67,0.96,1.2,14,3.5,17.5,1.2,2.3,180,5.3,44,70,,,,,,,,,,,,,,,,,,,,,,,
17-730,"Complan powder, savoury",PAA,4.4,11,67,0.96,1.2,14,3.5,17.5,1.2,2.3,180,5.3,44,70,,,,,,,,,,,,,,,,,,,,,,,
12-566,"Complan powder, savoury, made up with water",BH,1,2.44,,0.21,0.27,3.1,0.8,3.9,0.27,0.5,40,1.18,9.8,16,,,,,,,,,,,,,,,,,,,,,,,
12-568,"Complan powder, sweet, made up with semi-skimmed milk",BH,1,2.44,,0.23,0.45,3.2,1.3,4.5,0.31,1.2,46,1.69,11.9,17,,,,,,,,,,,,,,,,,,,,,,,
12-569,"Complan powder, sweet, made up with skimmed milk",BH,1,2.41,,0.23,0.44,3.2,1.3,4.5,0.31,1.2,46,1.55,11.5,16,,,,,,,,,,,,,,,,,,,,,,,
12-567,"Complan powder, sweet, made up with water",BH,1,2.47,,0.22,0.27,3.1,0.8,3.9,0.27,0.5,40,1.19,9.9,16,,,,,,,,,,,,,,,,,,,,,,,
12-570,"Complan powder, sweet, made up with whole milk",BH,1,2.45,,0.23,0.45,3.2,1.2,4.4,0.31,1.2,45,1.62,11.6,17,,,,,,,,,,,,,,,,,,,,,,,
15-723,"Coo-coo, homemade",DR,0,N,0.09,0.05,0.01,0.2,0.3,0.5,N,0,N,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
12-501,"Cooking fat, compound, not polyunsaturated",BTM,0,Tr,13.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
19-486,"Coq au vin, homemade",MR,0.3,0.18,,0.1,0.15,2.6,2,4.6,0.15,0.4,5,0.63,3.2,1,,,,,,,,,,,,,,,,,,,,,,,
19-571,"Coq au vin, homemade, weighed with bone",MR,0.3,N,,0.08,0.12,2.1,1.6,2.1,0.13,Tr,4,0.49,2.3,0,,,,,,,,,,,,,,,,,,,,,,,
13-818,"Coriander leaves, dried",H,0,N,,1.25,1.5,10.7,3.5,14.2,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
13-888,"Coriander leaves, fresh",H,0,2.5,310,0.07,0.12,1.1,0.4,1.5,0.15,0,62,0.57,N,27,,,,,,,,,,,,,,,,,,,,,,,
13-875,Coriander seeds,H,0,N,,0.24,0.29,2.1,N,N,N,0,0,N,N,21,,,,,,,,,,,,,,,,,,,,,,,
15-724,"Corn fritters, fried in rapeseed oil, homemade",DR,0.4,3.49,,0.16,0.12,1,1.3,2.3,0.09,0.5,25,0.43,N,9,,,,,,,,,,,,,,,,,,,,,,,
15-725,"Corn pudding, homemade",DR,0.5,0.51,,0.14,0.19,0.9,1,1.9,0.1,0.8,26,0.46,4.8,11,,,,,,,,,,,,,,,,,,,,,,,
17-645,Corn snacks,SN,0,8.43,15.5,0.23,0.31,0.3,0.5,0.8,Tr,0,5,0.3,1.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-572,"Corned beef hash, homemade",MR,0.5,0.37,,0.15,0.06,1.1,2.6,3.7,0.1,0.6,13,0.4,0.9,6,,,,,,,,,,,,,,,,,,,,,,,
19-128,"Corned beef, canned",MI,1.3,0.78,2,Tr,0.2,2.6,6.5,9.1,0.18,2,5,0.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
12-507,Cornetto type ice cream cone,BP,N,0.06,,0.07,0.18,0.4,0.9,1.3,0.03,0.7,9,0.47,2.5,N,,,,,,,,,,,,,,,,,,,,,,,
19-573,"Cornish pasty, homemade",MR,0.1,1.84,,0.11,0.03,1.4,1.3,2.7,0.12,0.3,9,0.36,0.7,4,,,,,,,,,,,,,,,,,,,,,,,
19-466,"Cornish pasty, retail",MR,Tr,0.85,,0.09,0.06,1.3,1.7,3,0.19,Tr,5,0.6,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-011,"Cornmeal, sifted",AA,0,Tr,,0.26,0.08,1,1,2,N,0,N,N,N,3,,,,,,,,,,,,,,,,,,,,,,,
19-477,"Coronation chicken, homemade",MR,0.1,7.98,,0.04,0.13,5.5,3.2,8.7,0.24,0.1,9,0.88,2,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-574,"Coronation chicken, reduced fat, homemade",MR,0.1,3.1,,0.04,0.17,5.5,N,5.5,N,0.2,N,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
13-628,"Courgette, boiled in unsalted water",DG,0,0.51,,0.05,0.03,0.4,0.2,0.6,0.07,0,21,0.23,0.7,1,,,,,,,,,,,,,,,,,,,,,,,
13-668,"Courgette, dried",DI,0,5.55,,Tr,Tr,Tr,4,4,Tr,0,Tr,Tr,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-414,"Courgette, fried in butter",DG,0,0.83,,0.1,0.01,0.4,0.4,0.8,0.09,0,42,N,N,15,,,,,,,,,,,,,,,,,,,,,,,
13-232,"Courgette, fried in corn oil",DG,0,0.83,3.69,0.1,0.01,0.4,0.4,0.8,0.09,0,42,N,N,15,,,,,,,,,,,,,,,,,,,,,,,
13-587,"Courgette, fried in rapeseed oil",DG,0,0.98,,0.1,0.01,0.4,0.4,0.8,0.09,0,42,N,N,15,,,,,,,,,,,,,,,,,,,,,,,
13-627,"Courgette, raw",DG,0,0.31,3.3,0.03,0.02,Tr,0.2,0.2,0.07,0,34,0.18,3.1,5,,,,,,,,,,,,,,,,,,,,,,,
13-629,"Courgette, roasted in rapeseed oil",DG,0,0.69,,0.04,0.03,Tr,0.3,0.3,0.08,0,23,0.22,4.8,6,,,,,,,,,,,,,,,,,,,,,,,
15-726,"Courgettes with eggs, homemade",DR,0.6,N,,0.11,0.09,0.2,0.9,1.1,0.13,0.5,29,0.26,N,9,,,,,,,,,,,,,,,,,,,,,,,
11-902,"Couscous, plain, cooked",AT,0,0.06,,0.13,Tr,2.1,1.2,3.3,0.08,0,13,0.36,2.1,0,,,,,,,,,,,,,,,,,,,,,,,
11-901,"Couscous, plain, raw",AT,0,0.13,,0.28,0.06,2.6,2.7,5.3,0.15,0,28,0.59,3.2,0,,,,,,,,,,,,,,,,,,,,,,,
16-391,"Crab, brown meat, purchased cooked",JK,Tr,7.33,,0.06,1.5,1,6.4,7.4,0.22,22.4,19,1.22,6,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-452,"Crab, canned in brine, drained",JK,Tr,N,,Tr,N,1.1,3.4,4.5,N,N,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-441,"Crab, purchased cooked",JK,Tr,4.73,,0.05,0.88,0.7,5.5,6.2,0.16,12.9,13,1.61,8.7,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-470,"Crab, white and brown meat, purchased cooked, weighed with shell",JK,Tr,2.08,,0.02,0.39,0.3,2.4,2.7,0.07,5.7,6,0.71,3.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-392,"Crab, white meat, purchased cooked",JK,Tr,2.12,,0.03,0.25,0.5,4.5,5,0.1,3.4,6,1.99,11.4,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-1134,"Crackers, wholemeal, homemade",AM,N,N,,0.23,0.09,2.5,2.2,4.7,0.2,0,32,0.49,4.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-073,Cranberries,FA,0,N,,0.03,0.02,0.1,0.1,0.2,0.07,0,2,0.22,N,13,,,,,,,,,,,,,,,,,,,,,,,
17-744,Cranberry fruit juice drink,PE,0,0,,Tr,Tr,Tr,Tr,Tr,Tr,0,Tr,Tr,Tr,30,,,,,,,,,,,,,,,,,,,,,,,
16-235,"Crayfish, raw",JK,Tr,N,,0.05,0.04,1.9,2.8,4.7,0.07,2,30,0.57,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-820,Cream crackers,AM,0,1.68,,0.14,0.02,1.5,1.7,3.3,0.06,0,19,0.78,4,0,,,,,,,,,,,,,,,,,,,,,,,
17-358,Cream of tartar,WY,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
