Food Code,Food Name,Group,Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),,,,,,,,,,,,,,,,,,,,,,,
14-027,"Apricots, stewed with sugar",FA,0,N,,0.02,0.03,0.5,0.1,0.6,0.05,0,Tr,0.15,N,4,,,,,,,,,,,,,,,,,,,,,,,
14-028,"Apricots, stewed with sugar, weighed with stones",FA,0,N,,0.02,0.03,0.5,0.1,0.6,0.05,0,Tr,0.14,N,4,,,,,,,,,,,,,,,,,,,,,,,
14-029,"Apricots, stewed without sugar",FA,0,N,,0.03,0.03,0.3,0.1,0.4,0.05,0,1,0.15,N,4,,,,,,,,,,,,,,,,,,,,,,,
14-030,"Apricots, stewed without sugar, weighed with stones",FA,0,N,,0.03,0.03,0.3,0.1,0.4,0.05,0,1,0.14,N,4,,,,,,,,,,,,,,,,,,,,,,,
13-152,"Arrowhead, boiled in unsalted water",DG,0,Tr,,0.13,0.03,1.2,N,N,N,0,N,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
13-151,"Arrowhead, raw",DG,0,Tr,,0.16,0.04,1.4,N,N,N,0,N,N,N,5,,,,,,,,,,,,,,,,,,,,,,,
11-001,Arrowroot,AA,0,Tr,,Tr,Tr,Tr,0.1,0.1,Tr,0,Tr,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
13-155,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",DG,0,0.19,,Tr,0.02,1,0.5,1.5,0.02,0,50,0.34,4.1,1,,,,,,,,,,,,,,,,,,,,,,,
13-154,"Artichoke, globe, boiled, weighed as served",DG,0,0.08,,Tr,0.01,0.4,0.2,0.6,0.01,0,21,0.15,1.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-153,"Artichoke, globe, raw",DG,0,0.19,,0.06,0.05,1.3,0.5,1.8,0.03,0,68,0.34,4.1,2,,,,,,,,,,,,,,,,,,,,,,,
13-156,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",DG,0,0.2,,0.1,Tr,0.9,0.4,1.3,N,0,N,N,N,2,,,,,,,,,,,,,,,,,,,,,,,
13-803,Asafoetida,H,0,N,,Tr,0.04,0.3,N,N,N,0,N,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
13-639,"Asparagus, grilled",DG,0,1.74,,0.11,0.17,1.8,0.6,2.4,0.18,0,122,0.38,0.3,10,,,,,,,,,,,,,,,,,,,,,,,
13-157,"Asparagus, raw",DG,0,1.16,,0.16,0.06,1,0.5,1.5,0.09,0,175,0.17,0.4,12,,,,,,,,,,,,,,,,,,,,,,,
13-640,"Asparagus, roasted in rapeseed oil",DG,0,1.69,,0.11,0.17,1.8,0.7,2.5,0.18,0,123,0.39,0.3,10,,,,,,,,,,,,,,,,,,,,,,,
13-638,"Asparagus, steamed",DG,0,1.45,,0.09,0.14,1.5,0.5,2,0.15,0,102,0.32,0.3,8,,,,,,,,,,,,,,,,,,,,,,,
13-651,"Aubergine, flesh and skin, boiled in unsalted water",DG,0,0.02,,0.01,0.01,0.1,0.2,0.3,0.03,0,7,0.04,0.4,1,,,,,,,,,,,,,,,,,,,,,,,
13-669,"Aubergine, flesh and skin, roasted in rapeseed oil",DG,0,0.75,,0.03,0.03,0.3,0.6,0.9,0.09,0,20,0.11,1,3,,,,,,,,,,,,,,,,,,,,,,,
13-412,"Aubergine, fried in butter",DG,0,5.5,,0,Tr,Tr,0.2,0.2,0.07,0,5,0.07,N,1,,,,,,,,,,,,,,,,,,,,,,,
13-162,"Aubergine, fried in corn oil",DG,0,5.5,10.3,Tr,Tr,Tr,0.2,0.2,0.07,0,5,0.07,N,1,,,,,,,,,,,,,,,,,,,,,,,
13-577,"Aubergine, fried in rapeseed oil",DG,0,7.03,,0,Tr,Tr,0.2,0.2,0.07,0,5,0.07,N,1,,,,,,,,,,,,,,,,,,,,,,,
13-161,"Aubergine, raw",DG,0,0.03,6.1,0.02,0.01,0.1,0.2,0.3,0.08,0,18,0.08,N,4,,,,,,,,,,,,,,,,,,,,,,,
15-001,"Aubergine, stuffed with lentils and vegetables",DR,0,1.21,,0.04,0.03,0.5,0.3,0.8,0.09,0,10,N,N,3,,,,,,,,,,,,,,,,,,,,,,,
15-662,"Aubergine, stuffed with rice",DR,0,0.5,,0.04,0.01,0.4,0.4,0.8,0.09,0,12,0.12,N,5,,,,,,,,,,,,,,,,,,,,,,,
15-663,"Aubergine, stuffed with vegetables, cheese topping",DR,0,1.24,,0.07,0.12,0.9,1.3,2.2,0.13,0.3,34,0.73,N,7,,,,,,,,,,,,,,,,,,,,,,,
14-039,"Avocado, Fuerte, flesh only",FA,0,3.2,,0.12,0.19,1,0.4,1.4,0.34,0,13,1.1,3.6,5,,,,,,,,,,,,,,,,,,,,,,,
14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",FA,0,2.27,,0.09,0.13,0.7,0.3,1,0.24,0,9,0.78,2.6,3,,,,,,,,,,,,,,,,,,,,,,,
14-386,"Avocado, Hass, flesh only",FA,0,2.19,,0.09,0.09,2.1,0.4,2.5,0.3,0,31,1.34,2.4,1,,,,,,,,,,,,,,,,,,,,,,,
14-387,"Avocado, Hass, flesh only, weighed with skin and stone",FA,0,1.51,,0.06,0.06,1.5,0.3,1.8,0.21,0,22,0.92,1.6,1,,,,,,,,,,,,,,,,,,,,,,,
